Seniority Group,Key words
Business Owner/ Co-Owner,owner
Business Owner/ Co-Owner,co-owner
Business Owner/ Co-Owner,founder
Business Owner/ Co-Owner,co-founder
CEO or President,chief executive officer
CEO or President,ceo
CEO or President,president
Other C Level Executive,chro
Other C Level Executive,chief human resource officer
Other C Level Executive,cio
Other C Level Executive,chief information officer
Other C Level Executive,coo
Other C Level Executive,chief operating officer
Other C Level Executive,cfo
Other C Level Executive,chief financial officer
Other C Level Executive,cto
Other C Level Executive,chief technology officer
Other C Level Executive,cmo
Other C Level Executive,chief marketing officer
Other C Level Executive,chief
Partner,partner
"Senior Executive, SVP or Corporate Vice President or equivalent",executive
"Senior Executive, SVP or Corporate Vice President or equivalent",vice president
"Senior Executive, SVP or Corporate Vice President or equivalent",senior vice president
"Senior Executive, SVP or Corporate Vice President or equivalent",svp
"Senior Executive, SVP or Corporate Vice President or equivalent",vp
Managing Director or equivalent,director
Managing Director or equivalent,managing director
Group or senior manager,group manager
Group or senior manager,senior manager
Head of department/function,head
Manager,manager
Supervisor,superviser
Supervisor,supervisor
Member of Staff/ Other,All the rest
